order_id,order_date,product_id,product_name,category,city,quantity,unit_price,cost_price,discount_pct,rating,delivery_minutes,payment_method
O0278,2025-02-18,P105,Shampoo,Personal Care,Delhi,1,220,150,15,5.0,38.0,Wallet
O0279,2025-03-05,P106,Rice 5kg,Staples,Delhi,5,420,320,5,3.0,32.0,UPI
O0280,2025-02-26,P103,Biscuits,Snacks,Bengaluru,1,30,18,10,5.0,23.0,Wallet
O0281,2025-04-28,P107,Cooking Oil,Staples,Mumbai,2,160,118,10,4.0,12.0,Wallet
O0282,2025-04-07,P104,Coffee,Beverages,Mumbai,4,180,120,10,4.0,32.0,UPI
O0283,2025-01-24,P102,Milk,Dairy,Bengaluru,1,60,42,15,5.0,19.0,Cash
O0284,2025-03-22,P103,Biscuits,Snacks,Mumbai,2,30,18,5,4.5,24.0,Cash
O0285,2025-04-22,P107,Cooking Oil,Staples,Pune,2,160,118,15,3.5,35.0,Wallet
O0286,2025-02-16,P105,Shampoo,Personal Care,Mumbai,1,220,150,10,4.0,22.0,Cash
O0287,2025-02-11,P108,Soap,Personal Care,Delhi,2,45,28,10,3.0,24.0,Cash
O0288,2025-04-27,P106,Rice 5kg,Staples,Mumbai,4,420,320,0,4.5,27.0,Cash
O0289,2025-01-31,P105,Shampoo,Personal Care,Pune,4,220,150,20,5.0,33.0,UPI
O0290,2025-04-30,P106,Rice 5kg,Staples,Delhi,3,420,320,20,5.0,30.0,Card
O0291,2025-03-11,P108,Soap,Personal Care,Bengaluru,1,45,28,10,3.0,40.0,Wallet
O0292,2025-01-10,P105,Shampoo,Personal Care,Delhi,1,220,150,10,3.0,12.0,Wallet
O0293,2025-02-25,P102,Milk,Dairy,Mumbai,1,60,42,10,4.5,17.0,Wallet
O0294,2025-04-29,P108,Soap,Personal Care,Mumbai,4,45,28,10,3.0,24.0,Card
O0295,2025-04-03,P104,Coffee,Beverages,Delhi,2,180,120,0,4.0,34.0,UPI
O0296,2025-04-06,P108,Soap,Personal Care,Bengaluru,4,45,28,0,5.0,28.0,Cash
O0297,2025-02-14,P105,Shampoo,Personal Care,Delhi,1,220,150,5,4.5,34.0,UPI
O0298,2025-03-18,P105,Shampoo,Personal Care,Bengaluru,3,220,150,10,5.0,12.0,Card
O0299,2025-02-20,P102,Milk,Dairy,Delhi,1,60,42,20,4.5,22.0,UPI
O0300,2025-03-26,P103,Biscuits,Snacks,Mumbai,3,30,18,15,3.0,31.0,UPI
O0301,2025-02-25,P105,Shampoo,Personal Care,Mumbai,3,220,150,10,3.0,23.0,UPI
O0302,2025-04-05,P104,Coffee,Beverages,Pune,1,180,120,0,4.0,30.0,Card
O0303,2025-01-26,P108,Soap,Personal Care,Mumbai,1,45,28,10,3.5,12.0,UPI
O0304,2025-03-03,P101,Bread,Grocery,Bengaluru,1,35,22,5,3.5,42.0,Wallet
O0305,2025-01-10,P102,Milk,Dairy,Pune,3,60,42,20,5.0,26.0,Card
O0306,2025-01-17,P104,Coffee,Beverages,Mumbai,1,180,120,0,3.5,19.0,Cash
O0307,2025-04-26,P104,Coffee,Beverages,Pune,1,180,120,0,4.5,35.0,Cash
O0308,2025-02-16,P108,Soap,Personal Care,Delhi,1,45,28,20,4.5,30.0,Wallet
O0309,2025-04-11,P101,Bread,Grocery,Bengaluru,1,35,22,10,4.0,23.0,Wallet
O0310,2025-03-26,P105,Shampoo,Personal Care,Mumbai,4,220,150,5,5.0,14.0,UPI
O0311,2025-02-07,P103,Biscuits,Snacks,Bengaluru,1,30,18,10,3.5,18.0,UPI
O0312,2025-03-22,P101,Bread,Grocery,Bengaluru,1,35,22,10,4.0,34.0,Wallet
O0313,2025-04-12,P105,Shampoo,Personal Care,Mumbai,5,220,150,10,3.0,30.0,Card
O0314,2025-02-16,P105,Shampoo,Personal Care,Pune,5,220,150,20,3.5,37.0,Wallet
O0315,2025-02-27,P107,Cooking Oil,Staples,Mumbai,2,160,118,15,4.0,13.0,UPI
O0316,2025-01-14,P104,Coffee,Beverages,Delhi,3,180,120,0,4.0,20.0,Wallet
O0317,2025-04-22,P102,Milk,Dairy,Bengaluru,2,60,42,0,3.0,31.0,Wallet
O0318,2025-02-03,P102,Milk,Dairy,Bengaluru,4,60,42,0,4.0,32.0,Cash
O0319,2025-04-28,P107,Cooking Oil,Staples,Delhi,1,160,118,10,3.0,26.0,Wallet
O0320,2025-01-18,P101,Bread,Grocery,Delhi,1,35,22,10,4.0,33.0,Wallet
O0025,2025-01-12,P101,Bread,Grocery,Mumbai,5,35,22,0,4.0,14.0,Cash
O0088,2025-03-07,P106,Rice 5kg,Staples,Delhi,1,420,320,5,4.5,17.0,Wallet
O0151,2025-03-01,P102,Milk,Dairy,Mumbai,1,60,42,0,4.0,19.0,Card
